HEADER: 9,"EventID","TrackID","Particle","FinalKineticEnergy","FinalPosX","FinalPosY","FinalPosZ","FinalDirTheta","FinalDirPhi"
1275,1,"gamma",0.353127,-1.28606,3.72676,36,74.8261,-179.25
1280,1,"gamma",1,0,0,36,0,0
1283,1,"gamma",1,0,0,36,0,0
1284,1,"gamma",1,0,0,36,0,0
1285,1,"gamma",1,0.0319056,0.496093,36,2.79058,86.3202
1293,1,"gamma",0.872962,-2.83144,5.91319,36,22.6892,115.587
1294,1,"gamma",0.912341,3.50012,-10.9484,36,18.9647,-72.2713
1296,1,"gamma",1,0,0,36,0,0
1297,1,"gamma",0.625961,4.64685,9.07207,36,47.4302,56.7068
1301,1,"gamma",1,0,0,36,0,0
1320,1,"gamma",0.879034,-3.55919,3.2703,36,20.8465,137.422
1324,1,"gamma",1,0,0,36,0,0
1334,1,"gamma",1,0,0,36,0,0
1341,1,"gamma",0.509737,24.7658,5.38579,36,37.1952,62.4487
1351,1,"gamma",1,0.00217872,0.000316329,36,0.596429,8.26105
1371,1,"gamma",1,0,0,36,0,0
1375,1,"gamma",0.993437,0.414526,1.57602,36,4.51204,75.2638
1398,1,"gamma",0.962364,5.22195,-2.55245,36,11.865,-26.049
1403,1,"gamma",1,0,0,36,0,0
1408,1,"gamma",1,0,0,36,0,0
1413,1,"gamma",0.902283,-1.93949,7.94612,36,10.1961,112.63
1422,1,"gamma",0.506886,-19.2978,-16.9959,36,55.4588,-129.617
1435,1,"gamma",0.436261,-0.65295,0.40814,36,70.5531,147.992
1447,1,"gamma",0.830393,-8.02248,-11.7389,36,22.0772,-169.029
1454,1,"gamma",1,0,0,36,0,0
1463,1,"gamma",1,0,0,36,0,0
1474,1,"gamma",0.787132,2.24154,10.0252,36,33.7966,77.3965
1478,1,"gamma",0.845021,-0.52728,-6.2995,36,25.2282,-94.7846
1480,3,"e-",0.32399,-0.677687,-1.93704,36,7.96807,32.3033
1480,2,"e-",0.342486,0.127365,-1.66665,36,43.603,50.9902
1490,1,"gamma",1,0,0,36,0,0
1496,1,"gamma",0.784875,-11.8702,6.93548,36,32.6297,134.235
1499,1,"gamma",1,0,0,36,0,0
1507,1,"gamma",1,0,0,36,0,0
1509,1,"gamma",0.879648,3.93483,-10.5278,36,23.0055,-69.5064
1516,1,"gamma",0.851021,-4.30394,11.6802,36,25.0534,110.228
1525,1,"gamma",1,0,0,36,0,0
1530,1,"gamma",1,0,0,36,0,0
1533,1,"gamma",1,0,0,36,0,0
